title,full_text,generated,full_text_original
동부여,"백제의 옛적들인 고려 국토는 신라, 청나라, 구석처의 이점이 겹치면 외계로 분류되는데, 조선은 과거의 영광을 되찾지 못했기 때문이다.",1,"백제의 옛적들인 고려 국토는 신라, 청나라, 구석처의 이점이 겹치면 외계로 분류되는데, 조선은 과거의 영광을 되찾지 못하였기 때문에 애당초 고려의"
발해 고왕,백마고비치와 승려를 일컫는 <엔이제이엠>에서는 고구려에서 일어난 불찬(不SM)사건으로 망명해 온 백제의 옛적에 이름을,1,고구려에서 일어난 불찬(不SM)사건으로 망명해 온 백마고비치와 승려를 일컫는 <엔이제이엠》에서 언급한 바에 따르면 백제의 옛적에 호칭(백마육
전기 그랜드 피아노,"하지만 피아노 건반에 고막을 뚫고 들어왔을 때 내는 불상(不象)이고, 피아노를 움직이는 움직이는 설비물을 제거해 주는 벽이 있는 벽이라 벽에 매달리는 것도 불능한 상태다.",1,"그러나 고막을 뚫고 들어온 피아노 건반에 불을 붙이는 설비물에 매달리는 불상(不象)이고, 피아노를 움직이는 설비물을 제거해 주는 벽이 있는 벽이라 불능한 설치"
국제장로교,"한국에서는 1969년 런던의 일링과 뷔스트가 조직한 국제학교인 라브리 교회가 그 교사들을 담당하고 있으며, 외국인들로 이루어진 국제기구에 의해 조직된 국제교회인 ‘공감’과 ‘사랑과 열",1,"한국에서는 1969년 런던의 일링과 뷔스트가 조직한 국제학교인 라브리 교회가 그 교사들을 담당하고 있으며, 외국인들로 구성된 국제기구에 의해 조직된 국제교회인 ‘공감’과 ‘사랑과 열"
프리돌리나 롤푀,여자부 선발전의 특징은 투명성 제고와 유소년 관련 냄새 제거였다.,1,여자부 선발전의 투명성 제고와 유소년 관련된 향수를 피
더글러스 하트리,부친 윌리엄은 케임브리지대학교에서 공부했고 동생 조지 플랑테는 뉴요커로 일흔 살 때 부친의 손에 들어간 아시아 국가 아버지다,1,아버지 윌리엄은 케임브리지대학교에서 수학했고 동생 조지 플랑테는 뉴요커로 일흔 살 때 부친의 손에 들어간 아시아 국가 아버지다
미치 탤벗,이우환과 오세환은 각각 다음 해 노진규와 김혜경 등 메이저 리그 강자였는데 각각 2008년과 2009년 플레이오프에서 금메달과 타율을 기록했다.,1,이우환과 오세환은 각각 다음 해 노진규와 김혜경 등 메이저 리그 강자였는데 각각 2008년과 2009년 플레이오프에서 각각 금메달과 타율을 기록했다.
경평군 (이륵),국내 최초로 만들어진 ‘곤충’지는 다른 저작자와 달리 저작권을 가지고 있는 저작자들이 저작한 저작권의 핵심을 이루었다.,1,"‘곤충’지는 국내 최초로 만들어졌는데, 여타의 저작자와 다르게 저작권을 가지고 있는 저작자들이 저작한 저작권의 요점이었다."
농우바이오,"백사장의 장류 자원은 자원재활용을 하는 과정에서 보충되었는데, 종자 특성을 금융회사에서 취급하는 기본 품목이 여러 가지 출세를 끌어 온 것으로 밝혀졌다.",1,"백사장의 장류 비료 자원은 자원재활용을 하는 과정에서 보충되었는데, 종자 특성을 금융회사에서 취급하는 기본 품목이 여러 가지 출세를 끌어 온 것으로 밝혀졌다."
PSV 에인트호번,지난 시즌 분데스리가에서 3위를 차지한 노르트호프는 2013∼2014 시즌 UEFA 챔피언스리그 진출을 확정지었다.,1,"노르트호프는 2013∼2014 시즌 UEFA 챔피언스리그 진출을 확정지었고, 지난 시즌 분데스리가에서 3위를 기록했다."
아라시야마역 (게이후쿠 전기 철도),아라시야마 역에서 내린 승객 전용 84m2 규모 시내버스와 지하철 5호선 연장선인 압구정 로데오역까지 갈 수 있는 것은 여타의 열차와는 상관없고,1,아라시야마 역에서 내린 승객 전용 84m2 규모 시내버스와 지하철 5호선 연장선인 압구정 로데오역까지 갈 수 있는 것은 여타의 열차와는 무관하고
생모리스 (스위스),"이 가운데에서도 로베르 르파주의 기록을 빼닮은 이 유형은 특이하게도 털과 모자에 대한 정보를 수집해서 취하는 것으로 알려졌는데, 눈을 뜨고 천추만 날로 갈수록 자그마하고 다듬은",1,"이 가운데에서도 로베르 르파주의 기록을 빼닮은 이 유형은 특이하게도 털과 모자에 대한 정보를 수집해서 취하는 것으로 알려졌는데, 눈을 뜨고 천추만 날로 갈수록 자그마하고 다듬은"
Robot Rock,이 싱글은 브로드웨이의 〈그리스편〉을 선율로 연주하고 ‘올해의 귀환’이라 불리는 가수 레이디 가가의 ‘,1,이 싱글은 브로드웨이의 〈그리스편〉을 누르고 1장짜리 선율로 연주하는 것을 끝으로 ‘올해의 귀환’이라 불리는 가수 레이디 가가의 ‘
Break (빈지노의 노래),‘세레나데’는 요즘 화제이다.,1,‘세레나데’는 요즘 세간의 이슈로 떠오르고 있다.
세례자 요한,"예수가 요한(예를 들자면 ‘예수와 심판할 것’이라든지, 이탈리아어로 ‘ 예수의 심판’을 의미하는 것은 바르다(惡)나 저명한 지사가 아닌 ‘지",1,"예수가 요한(예를 들자면 ‘예수와 심판할 것’이라든가, 이탈리아어로 ‘ 예수의 심판’을 의미하는 것은 바르다(惡)나 저명한 지사가 아닌 ‘지식’이란 거다."
하우프트슐레,"하우프트슐레(독일) 중등학교의 근래 평가결과가 좋지 않은 편이 좋지만, 몇몇 독일 학생의 경우 졸업장을 완비하지 못한 상태로 하여 스펙이 미족하였을뿐더러,",1,"하우프트슐레(독일) 중등학교의 근래 평가결과가 높지 않은 편이 좋지만, 몇몇 독일 학생의 경우 졸업장을 완비하지 못한 상태로 하여 스펙이 미족하였을뿐더러,"
도라에몽 노비타의 도라비안 나이트,《도라비몽 노비안의》》에서 이 문항이 호평된 소설가 최선영 소설가의 작품 〈장선〉으로 시즈카가 소설의 원작인 《,1,《도라비몽 노비안의》》에서 이 문항이 호평된 소설가 최선영 소설가의 작품 〈장선〉으로 시즈카가 소설의 원작인 《
제임스 부이,켄터키에서 1794년 4월 10일에 결혼해서 자취적으로 조지 조지 부부의 평판 있는 가렴주구를 이룬 부녀자 백이십여 년 루이지애나 주에서 캐리커처가 낳은 아,1,켄터키에서 1794년 4월 10일에 결혼해서 자취적으로 조지 조지 부부의 평판 있는 가렴주구를 이룬 부녀자 백이십여 년 루이지애나 주에서 캐리커처가 낳은 아
흥완군 의복,전라도 김제에서 난 그는 1907년 5월에 국보 사찰인 한 가구를 세워서 여타의 역사 속 인물들처럼 웅숭숭한 복장을 한 인사의 후원으로 꼽힌다.,1,"1907년 5월에 세워진 국보 사찰 사찰의 한 가구가 전라도 김제에서 살았는데, 여타의 역사 속 인물들처럼 웅숭숭한 복장을 한 사람의 후손으로 꼽힌다."
간류섬,이 코너에서 회의에 참여한 경시청 조사원 23명은 눅코코나 안사람을 포함한 환경전문가들과 함께 커피를 마시며 ‘평온히 먹는다’는 구호를 붙였다.,1,이 코너에서 회의에 참석한 경시청 조사원 23명은 눅코코나 안사람을 포함한 환경전문가들과 같이 커피를 마시며 ‘평온히 먹는다’는 구호를 붙였다.
지성개선론,진보주의에서 벗어나고자 하는 고갱의 노력은 ‘진보 스타일’이었다.,1,고갱은 진보주의에서 벗어나려고 노력하는 ‘진보 스타일’이었다.
할리우드 블랙리스트,거의 특혜 정도의 가격으로 그 나라의 가문을 대신해주고 있는 사람들이 대부분입니다.,1,거의 특혜 정도의 가격으로 그 나라의 가문을 대신해주고 있는 사람들이 거의 존재합니다.
마그니프테리기우스,"이규호 씨는 러시아 소위원회 예술가 집단 ‘Animal Approach to drink’의 예술감독으로, 저명하여 이름난 소작이 이 프로젝트에 원",1,"이 작품의 원본이 자타 공인 이규호 씨가 작업한 ‘Animal Approach to drink’의 작가로써, 명성이 자자한 러시아 소위원회 예술가 집단인 소"
박재완 (축구 선수),특히나 박말봉은 이천팔 년 데뷔 첫해에 내셔널리그 베스트11에 뽑히기도 했고 이천십이 년에는 백전 근접한 수비 가담으로 이근호(상주·,1,"경기대학교를 졸업하고 프로팀 입단에 실패하며 2010년 창원시청 축구단에 입단하며 축구 선수로 데뷔하였다. 당시 감독이었던 박말봉은 박재완을 중앙 수비의 백업 요원부터 차근차근 키워나갈 생각이었다고 한다. 하지만 데뷔 첫해에 붙박이 주전 수비수인 김성용이 무릎 부상으로 경기에 나서지 못하는 동안 이를 박재완이 대체하면서 2010년 첫 시즌에 19경기에 나서며 가능성을 보여줬다. 2011년 시즌 들어 부상으로 인해 7월까지 이렇다 할 활약을 하지 못했지만 부상을 털어낸 뒤에는 재도약했다. 특히 2011년 9월 23일 펼쳐진 수원시청과의 홈 경기에서는 수비수임에도 두 골이나 기록하며 맹활약하기도 했다. 매년 20경기 이상 뛸 정도로 박재완은 창원시청 수비진에서는 없어선 안 될 선수로 자리매김하기 시작했다. 특히나 2015년은 박재완의 해였다. 한 팀에서 내셔널리그 통산 100경기 출장이라는 금자탑을 세웠고 시즌이 끝난 뒤에는 내셔널리그 베스트11에 이름을 올리기도 했으며, 2015년에는 팀의 리그 준우승을 이끌기도 하였다. 7년 동안 창원시청에서만 143경기에 출장한 사실상 팀의 레전드였던 박재완은 군문제를 해결하기 위해 2017시즌부터 K3리그 경주 시민축구단에서 잠시 뛸 예정이었다. 하지만 숙소에 남아있는 마지막 짐을 정리하기 위해 창원으로 가던 중 고속도로에서 트럭과 충돌하여 2016년 12월 26일 끝내 사망하였다. 2017시즌 리그 개막전에서 창원시청 구단으로부터 공로패를 수여받았다."
스미다강,이 강은 1907년 3월 24일에 아라카와 방수로 이뤄진 강에 너비 30m 정도의 강이 시작되어 현재 환경영향평가위원회를 구성하고 90년대 이후에 청수가 쇄도하여 물의 재활용 가능성이 낮아지게 되었,1,이 강은 1907년 3월 24일에 아라카와 방수로 이뤄진 강에 너비 30m 정도의 강이 시작되어 현재 환경영향평가위원회를 구성하고 90년대 이후에 청수가 쇄도하여 물이 고갈되는 것을 방지해
밀양 표충사 아미타불회도,"경남 밀양시 단장보사 아미타불아파트의 불상이, 아모레퍼시픽이 2007년 4월에 경상북도 부필마을에서 갖고 온 ‘한국형 부여불교’라는 안과 ‘백이십구 개",1,"경남 밀양시 단장보사 아미타불아파트의 불상이, 아모레퍼시픽이 2007년 4월에 경상북도 부필마을에서 갖고 온 ‘한국형 부여불교’라는 안과 ‘백이십구"
튀르키예 공화국의 역사,터키의 역사에는 1930~1961년 5월 26일에 터키에서 있었던 오스만 제국을 넘어 구라파주의 반군 세력에까지 비등한 역사 속에 있다.,1,터키의 역사에 남을 곳으로 역사 속에 남아 있는 오스만 제국 독립군과 전쟁하고 구라파주의 반군 세력까지 비등했던 1930~1961년 5월 26일에 터키
오타쿠,근래 역사 교과서 파동에서 드러난 오타가키라는 말은 오타키라고 칭한 지 오래돼서 과거로 눈을 돌리면 모조리 없애고자 하는 의의에서 작성하게 되었습니다.,1,근래 역사 교과서 파동에서 나타난 오타쿠라는 말은 오타가키라는 문구를 낳게 된 지 오래돼서 과거로 눈을 돌리면 모조리 없애 없애고자 하는 의의에서 작성하게 되었습니다.
고객 댁내 장치,이 때문에 거래자가 인증된 기기만이 다운로드가 가능하도록 한 것은 고객채널 만족률을 향상시키기 위해서다.,1,이 때문에 거래자가 인증된 기기만이 다운로드가 가능하도록 한 것은 고객채널 만족률을 향상시키기 위해서다.
풍진바이러스,국내 최초 유전자 변형이 예방하기 어려운 ‘쓰레기 인식’이나 ‘마쓰다’라는 설비를 국내 처음으로 개발했다고 알려졌다.,1,이 바이러스는 국내 최초로 개발되었으며 국내에서도 아직 알려진 바에 의하면 유전 요소로 인한 유전자 변형이 생기기 어려운 ‘쓰레기 인식’이나 ‘마쓰다’라는 설비를 지녔다고 한다.
베셀 보정,"이 때문에 외환 위기 이후 원비가 증가하고 소득이 줄어드는 추세가 계속되자 근래에는 인플레이션을 비롯한 정보기술(IT), 가전 및 비(非)영역 등 새로운 기술이 증가하고 있다.",1,"이 때문에 외환 위기 이후부터 원비가 늘고 소득이 줄어드는 추세가 계속되자 근래에는 인플레이션을 비롯한 정보기술(IT), 가전 및 비(非)영역 등 새로운 기술이 늘고 있습니다."
샌프란시스코,"미국 북부에 자리한 샌프란시스코 AMZ와 BBC, C.A.C. 한국, 시베리아, 슬로바키, 안코나 등 세계 주요 2개 대도시와 비교했을 때 아메리카합중국 북부의",1,"아메리카합중국 북부에 자리한 샌프란시스코 AMZ와 BBC, C.A.C. 계림, 시베리아, 슬로바키, 안코나 등 세계 주요 2개 대도시와 비교했을 때 미국 영토"
위상 공간 (수학),"위상 공간에 대한 관찰은 보통 종횡 철학과 해석학에서 가능하고, 유사하게 대짜배기 고저(주로 경장 주위를 지나는 설비물)나 도구로 이루어진다.",1,"일반위상수학에서 위상 공간(位相空間, )은 어떤 점의 근처(근방)가 무엇인지에 대한 정보를 담고 있지만, 점 사이의 거리나 넓이·부피 따위의 정보를 포함하지 않는 공간이다. 이를 사용하여, 함수의 연속성이나 수열의 극한, 집합의 연결성 등을 정의할 수 있다.
위상 공간의 개념은 위상수학과 이를 바탕으로 하는 기하학 및 해석학에서 중요한 역할을 한다. 위상 공간의 일반적인 특성을 탐구하는 분야를 일반위상수학이라고 부른다.
이 정의들은 서로 동치이다.
즉, 근방이나 열린집합, 닫힌집합, 폐포, 내부 중 하나를 기본적인 무정의 개념으로 삼고 이를 바탕으로 나머지 개념들을 정의할 수 있다.
주어진 위상 공간 formula_65의 열린집합들은 완비 헤이팅 대수를 이룬다. 즉, 위상 공간은 직관 논리의 모형으로 여길 수 있다. 또한, 위상 공간은 양상 논리 S4의 모형으로 여길 수 있다.
주어진 집합 formula_1 위의 위상들은 섬세성 관계에 따라 완비 유계 격자를 형성한다. 이 격자의 최대 원소는 이산 위상으로 가장 섬세한 위상이며 최소 원소는 비이산 위상으로 가장 거친 위상이다.
위상 공간과 연속 함수들은 하나의 범주를 형성하며 이를 formula_96이라고 부른다.
이 망각 함자는 좌 · 우 수반 함자를 갖는다.
은 집합을 이산 공간으로 대응시키고,
는 집합을 비이산 공간으로 대응시킨다.
즉, 모든 작은 (= 고유 모임 크기가 아닌) 극한과 쌍대극한이 존재한다.
유한 집합 위의 위상의 경우, 열린집합들을 그대로 나열할 수 있다.
그러나 다음은 위상을 이루지 않는다.
좀 더 복잡한 위상 공간의 경우, 다양한 구조로서 위상들을 정의할 수 있다.
위상 공간의 개념은 매우 일반적이며, 대부분의 경우 특정한 성질을 만족시키는 위상 공간들을 고려한다. 대표적인 것들은 다음과 같다.
위상 공간은 근방의 개념 외에는 다른 정보를 별도로 포함하고 있지 않다. 이와 관련하여 여러 가지 정보를 더하여 다음과 같은 구조들을 정의할 수 있다.
위상 공간의 개념은 매우 일반적인 개념이지만, 대수기하학에서는 이보다 더 일반적인 개념을 필요로 할 때가 있다. 이 경우, 열린집합들의 포함 관계에 대한 부분 순서 집합을 범주로 추상화하여, 덮개의 개념을 공리화할 수 있는데, 이렇게 하면 범주 위의 그로텐디크 위상의 개념을 얻는다. 또한, 이를 한 단계 더 추상화하여, 공간의 열린집합들 대신 공간 위의 모든 층들의 범주의 성질을 공리화하면 토포스의 개념을 얻는다.
범주론 대신에 위상 공간의 열린 집합들의 격자론적 성질인 완비 헤이팅 대수를 공리화하면 장소라는 개념을 도출할 수 있다.
1910년대 이전까지는 위상 공간이라는 개념이 따로 존재하지 않았고 열린집합은 거리 공간에 대해서만 정의되었다. 1908년에 리스 프리제시는 거리 함수를 사용하지 않고 수열의 극한을 통해 위상 공간의 개념을 공리화하였으며 1914년에 펠릭스 하우스도르프는 근방의 개념을 활용하여 이를 재정의하였다. 하우스도르프의 정의에는 오늘날 하우스도르프 공간의 정의에 포함되는 조건이 추가되었지만 이는 이후 정의에서 제외되었다."
유리 솁추크,노서아 역사에서 잔뼈가 굵은 러시아어로 ‘비엔날레’라고 칭한다.,1,러시아에서 온 안철수는 노서아 역사에서 잔뼈 굵은 러시아어로 ‘비엔날레’라고 불린다.
죄수의 딜레마,이 게임은 범죄자의 선택 방식을 고려하지 않고 상대방의 선택에 따라 자유를 꾀한 범죄자 2명이 자백하거나 속인 척하면 경쟁적으로 자백을 하기도 하지만 결국 이 둘의 결과는 서로를 속이는 것이나 다름없다.,1,이 게임은 범죄자의 선택 방식을 고려하지 않고 상대방의 선택에 따라 자유를 꾀한 범죄자 2명이 자백하거나 속인 척하면 경쟁적으로 자백을 하기도 하지만 결국 이 둘의 결과는 서로를
한국조폐공사,한국조폐공사는 충남 서산시 화산읍 중도리 다락원 광장에다 ‘보통사람들’이라는 상소를 하고 주민들에게 편의를 제공하려고 만든 곳이다.,1,한국조폐공사는 국민들에게 편의를 제공하려고 설립된 조직이며 충남 서산시 화산읍 중도리 다락원 광장에다가 지우금 살고 있는 ‘보통사람들’이란 상소
김지영 (야구 선수),선수 1명은 빠짐없이 전원이 나가서 땀범벅인 그는 몇 달 뒤 구단이 운영하는 인라인 스케이트를 타고 상갑판과 구장 근처에 있는 집으로 갔다.,1,선수 1명은 빠짐없이 전원이 나가서 땀범벅인 그는 몇 달 뒤 구단이 운영하는 인라인 스케이트를 타고 상갑판과 구장 근처에 있는 집으로 갔다.
후안 아랑고,서둘러서 팀을 보조하고 싶기 때문입니다.,1,빠르빨리 팀을 도와주고 싶기 때문입니다
육영공원,이화학당미술관은 평양에 자리 잡은 그는 1906년 작품 90여 점을 그리는 것을 시작했다.,1,1886년 평양에 위치한 이화학당미술관에서 온 그는 작품 90여 점이 나왔다.
